alpha,A_chemostat,kw,W_chemostat,epsilon,old_bound,paired_bound,old_saturation,paired_saturation,Lambda,Lambda_resp,Lambda_resp_over_Lambda
0.0,0.1,0.1,1e-05,3.2590985831335715e-08,6.841652124073442e-08,3.2814262918660445e-08,0.47636134138798353,0.9931957305310137,0.03420826062036721,0.03147707107486996,0.9201599410210546
0.0,0.1,0.1,0.0001,3.2590234070153966e-08,6.841584109436916e-08,3.281360033655433e-08,0.47635508895082845,0.9931928753897958,0.03420792054718458,0.031476112836555825,0.9201410764837155
0.0,0.1,0.1,0.001,3.258271632304007e-08,6.840903950830745e-08,3.2806974004608556e-08,0.47629255661575687,0.9931643289766078,0.03420451975415372,0.0314665298935635,0.9199523957573553
0.0,0.1,0.4,1e-05,3.403508833951366e-08,6.972305457592545e-08,3.407418146039612e-08,0.4881468338776077,0.9988527055029068,0.034861527287962726,0.03330461779845486,0.955340181264937
0.0,0.1,0.4,0.0001,3.403499260063376e-08,6.972296795739654e-08,3.407409876855553e-08,0.48814606718162756,0.998852319816662,0.034861483978698274,0.033304497525083014,0.9553379180712261
0.0,0.1,0.4,0.001,3.403403520963335e-08,6.972210177011581e-08,3.4073271842263874e-08,0.48813840009942117,0.9988484630178116,0.034861050885057907,0.033303294782040936,0.9553152855846737
0.0,0.1,1.0,1e-05,3.416953262378709e-08,6.984469132485915e-08,3.419019685636226e-08,0.48922161406453885,0.9993956094297443,0.034922345662429584,0.03347339758836457,0.9585094286600618
0.0,0.1,1.0,0.0001,3.4169497750011546e-08,6.984465977325624e-08,3.4190166790621774e-08,0.489221335760521,0.9993954682720092,0.03492232988662812,0.0334733538388038,0.9585086088892615
0.0,0.1,1.0,0.001,3.4169149011964014e-08,6.984434425696285e-08,3.4189866132175e-08,0.489218552704182,0.9993940567029161,0.03492217212848143,0.03347291634195602,0.9585004111086365
0.5,0.02,0.1,1e-05,1.4523083499191145e-08,2.9046166998382297e-08,1.4523083499191149e-08,0.4999999999999999,0.9999999999999998,0.014523083499191148,0.014523083499191148,1.0
0.5,0.02,0.1,0.0001,1.4518696770763526e-08,2.9037393541527053e-08,1.4518696770763526e-08,0.5,1.0,0.014518696770763527,0.014518696770763527,1.0
0.5,0.02,0.1,0.001,1.447482018637304e-08,2.8949640372746082e-08,1.4474820186373041e-08,0.49999999999999994,0.9999999999999999,0.014474820186373041,0.014474820186373041,1.0
0.5,0.02,0.4,1e-05,1.5484941469075852e-08,3.0969882938151703e-08,1.5484941469075852e-08,0.5,1.0,0.015484941469075851,0.015484941469075851,1.0
0.5,0.02,0.4,0.0001,1.5484384028472706e-08,3.096876805694541e-08,1.5484384028472706e-08,0.5,1.0,0.015484384028472707,0.015484384028472707,1.0
0.5,0.02,0.4,0.001,1.5478809471587358e-08,3.0957618943174716e-08,1.5478809471587358e-08,0.5,1.0,0.015478809471587359,0.015478809471587357,0.9999999999999999
0.5,0.02,1.0,1e-05,1.5574383053694177e-08,3.114876610738836e-08,1.557438305369418e-08,0.4999999999999999,0.9999999999999998,0.01557438305369418,0.01557438305369418,1.0
0.5,0.02,1.0,0.0001,1.557418004216307e-08,3.114836008432614e-08,1.557418004216307e-08,0.5,1.0,0.015574180042163068,0.01557418004216307,1.0000000000000002
0.5,0.02,1.0,0.001,1.557214990683621e-08,3.1144299813672426e-08,1.5572149906836213e-08,0.4999999999999999,0.9999999999999998,0.015572149906836214,0.015572149906836212,0.9999999999999999
0.5,0.05,0.1,1e-05,2.5644223451802e-08,5.1288446903603994e-08,2.5644223451801997e-08,0.5000000000000001,1.0000000000000002,0.025644223451802,0.025644223451802,1.0
0.5,0.05,0.1,0.0001,2.5643134350212852e-08,5.128626870042572e-08,2.564313435021286e-08,0.4999999999999999,0.9999999999999998,0.025643134350212857,0.025643134350212857,1.0
0.5,0.05,0.1,0.001,2.5632242731449447e-08,5.1264485462898894e-08,2.5632242731449447e-08,0.5,1.0,0.02563224273144945,0.02563224273144945,1.0
0.5,0.05,0.4,1e-05,2.642647185296452e-08,5.285294370592904e-08,2.642647185296452e-08,0.5,1.0,0.026426471852964522,0.026426471852964522,1.0
0.5,0.05,0.4,0.0001,2.6426333284318224e-08,5.2852666568636454e-08,2.6426333284318227e-08,0.49999999999999994,0.9999999999999999,0.026426333284318232,0.02642633328431823,0.9999999999999999
0.5,0.05,0.4,0.001,2.642494758806032e-08,5.2849895176120645e-08,2.642494758806032e-08,0.49999999999999994,1.0,0.026424947588060327,0.02642494758806032,0.9999999999999998
0.5,0.05,1.0,1e-05,2.6499260687309233e-08,5.2998521374618466e-08,2.6499260687309233e-08,0.5,1.0,0.026499260687309234,0.026499260687309234,1.0
0.5,0.05,1.0,0.0001,2.6499210216850237e-08,5.2998420433700474e-08,2.6499210216850237e-08,0.5,1.0,0.026499210216850234,0.026499210216850238,1.0000000000000002
0.5,0.05,1.0,0.001,2.6498705510960297e-08,5.299741102192059e-08,2.6498705510960297e-08,0.5000000000000001,1.0,0.026498705510960292,0.0264987055109603,1.0000000000000002
0.5,0.1,0.1,1e-05,3.420827683907977e-08,6.841655367815954e-08,3.420827683907977e-08,0.5,1.0,0.034208276839079774,0.034208276839079774,1.0
0.5,0.1,0.1,0.0001,3.4207936765712686e-08,6.841587353142539e-08,3.420793676571269e-08,0.4999999999999999,0.9999999999999998,0.03420793676571269,0.03420793676571269,1.0
0.5,0.1,0.1,0.001,3.420453597083841e-08,6.840907194167682e-08,3.420453597083841e-08,0.5,1.0,0.034204535970838404,0.03420453597083841,1.0000000000000002
0.5,0.1,0.4,1e-05,3.486154382853464e-08,6.972308765706928e-08,3.486154382853464e-08,0.5,1.0,0.034861543828534645,0.03486154382853464,0.9999999999999998
0.5,0.1,0.4,0.0001,3.4861500519215154e-08,6.972300103843032e-08,3.486150051921516e-08,0.4999999999999999,0.9999999999999998,0.03486150051921516,0.03486150051921516,1.0
0.5,0.1,0.4,0.001,3.4861067425024584e-08,6.972213485004917e-08,3.4861067425024584e-08,0.5,1.0,0.03486106742502459,0.03486106742502459,1.0
0.5,0.1,1.0,1e-05,3.4922362278151925e-08,6.984472455630384e-08,3.492236227815192e-08,0.5000000000000001,1.0000000000000002,0.034922362278151924,0.034922362278151924,1.0
0.5,0.1,1.0,0.0001,3.492234650232948e-08,6.984469300465896e-08,3.492234650232948e-08,0.5,1.0,0.034922346502329484,0.034922346502329484,1.0
