alpha,k3p,s_target,qfrac,epsilon,old_bound,paired_bound,old_saturation,paired_saturation,Lambda,Lambda_resp,Lambda_resp_over_Lambda
0.5,1.5,0.04,0.4,2.5200000000078844e-08,5.040000000015769e-08,2.5200000000078844e-08,0.5,1.0,0.025200000000078847,0.025200000000078847,1.0
0.5,1.5,0.04,0.8,1.520000000000217e-08,3.040000000000434e-08,1.520000000000217e-08,0.5,1.0,0.015200000000002172,0.015200000000002172,1.0
0.5,1.5,0.08,0.1,8.099141262877883e-08,1.6198282525755768e-07,8.099141262877884e-08,0.49999999999999994,0.9999999999999999,0.08099141262877883,0.08099141262877883,1.0
0.5,1.5,0.08,0.4,5.0200000000159804e-08,1.0040000000031961e-07,5.0200000000159804e-08,0.5,1.0,0.050200000000159804,0.050200000000159804,1.0
0.5,1.5,0.08,0.8,3.0200000000004334e-08,6.040000000000865e-08,3.020000000000433e-08,0.5000000000000001,1.0000000000000002,0.03020000000000433,0.03020000000000433,1.0
0.5,2.0,0.02,0.1,2.5880614525112455e-08,5.176122905022492e-08,2.588061452511246e-08,0.49999999999999994,0.9999999999999999,0.02588061452511246,0.02588061452511246,1.0
0.5,2.0,0.02,0.4,1.420000000026995e-08,2.84000000005399e-08,1.420000000026995e-08,0.5,1.0,0.014200000000269952,0.014200000000269952,1.0
0.5,2.0,0.02,0.8,8.200000000001589e-09,1.6400000000003174e-08,8.200000000001587e-09,0.5000000000000001,1.0000000000000002,0.008200000000001588,0.008200000000001588,1.0
0.5,2.0,0.04,0.1,5.176955138524654e-08,1.0353910277049308e-07,5.176955138524654e-08,0.5,1.0,0.05176955138524654,0.05176955138524654,1.0
0.5,2.0,0.04,0.4,2.8200000000584308e-08,5.640000000116861e-08,2.8200000000584305e-08,0.5000000000000001,1.0000000000000002,0.028200000000584306,0.028200000000584306,1.0
0.5,2.0,0.04,0.8,1.6200000000003166e-08,3.240000000000633e-08,1.6200000000003166e-08,0.5,1.0,0.016200000000003167,0.016200000000003167,1.0
0.5,2.0,0.08,0.1,1.0354737879026689e-07,2.0709475758053376e-07,1.0354737879026688e-07,0.5000000000000001,1.0000000000000002,0.10354737879026689,0.10354737879026689,1.0
0.5,2.0,0.08,0.4,5.6200000001217637e-08,1.1240000000243527e-07,5.6200000001217637e-08,0.5,1.0,0.05620000000121764,0.05620000000121764,1.0
0.5,2.0,0.08,0.8,3.220000000000631e-08,6.440000000001261e-08,3.2200000000006304e-08,0.5000000000000001,1.0000000000000002,0.03220000000000631,0.03220000000000631,1.0
0.5,3.0,0.02,0.1,3.549136011913186e-08,7.098272023826372e-08,3.549136011913186e-08,0.5,1.0,0.035491360119131864,0.035491360119131864,1.0
0.5,3.0,0.02,0.4,2.068867968929965e-08,4.137735937859931e-08,2.0688679689299654e-08,0.49999999999999994,0.9999999999999999,0.020688679689299654,0.020688679689299654,1.0
0.5,3.0,0.02,0.8,9.200000000003161e-09,1.840000000000632e-08,9.20000000000316e-09,0.5000000000000001,1.0000000000000002,0.00920000000000316,0.00920000000000316,1.0
0.5,3.0,0.04,0.1,7.09358324987002e-08,1.4187166499740042e-07,7.093583249870021e-08,0.4999999999999999,0.9999999999999998,0.07093583249870021,0.07093583249870021,1.0
0.5,3.0,0.04,0.4,4.135548709835242e-08,8.271097419670484e-08,4.135548709835242e-08,0.5,1.0,0.04135548709835242,0.04135548709835242,1.0
0.5,3.0,0.04,0.8,1.820000000000634e-08,3.640000000001268e-08,1.820000000000634e-08,0.5,1.0,0.01820000000000634,0.01820000000000634,1.0
0.5,3.0,0.08,0.1,1.4182476427324352e-07,2.8364952854648703e-07,1.4182476427324352e-07,0.5,1.0,0.14182476427324353,0.14182476427324353,1.0
0.5,3.0,0.08,0.4,8.268892576933746e-08,1.6537785153867492e-07,8.268892576933746e-08,0.5,1.0,0.08268892576933747,0.08268892576933747,1.0
0.5,3.0,0.08,0.8,3.6200000000012705e-08,7.240000000002541e-08,3.6200000000012705e-08,0.5,1.0,0.03620000000001271,0.03620000000001271,1.0
1.0,1.5,0.02,0.1,2.270001671682217e-08,4.0315774834474025e-08,2.3023550367527967e-08,0.5630554493873049,0.9859477080840623,0.020157887417237015,0.026296598475533815,1.3045314685629004
1.0,1.5,0.02,0.4,1.5200000000050862e-08,2.5400000000162702e-08,1.5203289117874402e-08,0.5984251968485629,0.9997836574837169,0.012700000000081351,0.01820000000001556,1.4330708661337779
1.0,1.5,0.02,0.8,5.200000000004239e-09,1.5400000000006504e-08,5.216001022499469e-09,0.3376623376624703,0.9969323199082575,0.007700000000003252,0.003533333333338184,0.45887445887489503
1.0,1.5,0.04,0.1,4.52000342229185e-08,8.087158319189653e-08,4.5842609951577605e-08,0.5589112076075644,0.98598300294556,0.04043579159594826,0.051972393867591817,1.2853067002353318
1.0,1.5,0.04,0.4,3.0200000000103324e-08,5.040000000033288e-08,3.020331107688018e-08,0.5992063492044417,0.9998903737153709,0.02520000000016644,0.03620000000003046,1.4365079364996574
1.0,1.5,0.04,0.8,1.0200000000008405e-08,3.040000000001283e-08,1.0216326802404287e-08,0.3355263157896085,0.998401891138404,0.015200000000006418,0.006866666666676324,0.4517543859653569
1.0,1.5,0.08,0.1,9.020006922594733e-08,1.619829326126252e-07,9.147918918511572e-08,0.5568492172052267,0.9860173666758242,0.0809914663063126,0.10332498515728125,1.275751506541473
1.0,1.5,0.08,0.4,6.020000000020831e-08,1.004000000006735e-07,6.020332216769548e-08,0.5996015936235506,0.9999448175388409,0.05020000000033675,0.07220000000006019,1.438247011943742
1.0,1.5,0.08,0.8,2.020000000001673e-08,6.040000000002548e-08,2.021649491547486e-08,0.33443708609285117,0.999184086285625,0.030200000000012737,0.0135333333333526,0.44812362030949976
1.0,2.0,0.02,0.1,2.7200024238837503e-08,5.176125632854879e-08,2.7442259949286442e-08,0.5254900318915829,0.9911728949839921,0.025880628164274395,0.02909812027529373,1.1243204798043025
